[1.5216850746149995, 1.365689287914166, -86.40215759166666]	120
[-4.110807904, -9.192273521999999, -194.8709671]	10
[-5.82431459, -24.0233097, -189.003479]	1
[-5.82431459, -24.0233097, -189.003479]	1
[-12.7975101, -12.775609, -193.377487]	1
[-12.7975101, -12.775609, -193.377487]	1
[-2.81078179375, -6.890477065, -195.79108812500002]	8
[-3.49226332, -10.487914105, -191.390358]	2
[-5.60216618, -11.3406115, -182.603241]	1
[-5.60216618, -11.3406115, -182.603241]	1
[-1.38236046, -9.63521671, -200.177475]	1
[-1.38236046, -9.63521671, -200.177475]	1
[-2.583621285, -5.691331384999999, -197.25799816666665]	6
[-2.77501178, -7.199740645, -200.6083145]	2
[-2.41696525, -8.32053661, -196.53302]	1
[-2.41696525, -8.32053661, -196.53302]	1
[-3.13305831, -6.07894468, -204.683609]	1
[-3.13305831, -6.07894468, -204.683609]	1
[-2.4327264233333334, -4.020379223333333, -197.59048966666668]	3
[-1.21382797, -5.1546483, -202.440689]	1
[-1.21382797, -5.1546483, -202.440689]	1
[-3.04217565, -3.453244685, -195.16539]	2
[-3.2390914, -3.56180787, -195.506348]	1
[-3.2390914, -3.56180787, -195.506348]	1
[-2.8452599, -3.3446815, -194.824432]	1
[-2.8452599, -3.3446815, -194.824432]	1
[-2.65352488, -7.68736935, -189.559891]	1
[-2.65352488, -7.68736935, -189.559891]	1
[4.17017663225, -8.366790668124999, -201.69340406249998]	16
[-0.21539960799999996, -16.26177165, -202.5682295]	2
[-0.21539960799999996, -16.26177165, -202.5682295]	2
[-0.654704094, -18.4602146, -196.888626]	1
[-0.654704094, -18.4602146, -196.888626]	1
[0.223904878, -14.0633287, -208.247833]	1
[0.223904878, -14.0633287, -208.247833]	1
[9.69463539, -15.0331755, -204.703735]	1
[9.69463539, -15.0331755, -204.703735]	1
[2.0089534542000003, -7.060486702, -201.7730422]	10
[3.75009942, -9.96848583, -191.360992]	1
[3.75009942, -9.96848583, -191.360992]	1
[4.66936111, -10.0571299, -216.514648]	1
[4.66936111, -10.0571299, -216.514648]	1
[0.9652829888571429, -6.1096130099999995, -201.30596271428573]	7
[0.43454967050000004, -7.24319601, -198.818222]	2
[0.107545815, -8.40529728, -201.312271]	1
[0.107545815, -8.40529728, -201.312271]	1
[0.761553526, -6.08109474, -196.324173]	1
[0.761553526, -6.08109474, -196.324173]	1
[1.9461790950000002, -7.195438384999999, -201.05323049999998]	2
[1.61211908, -8.2687788, -198.276398]	1
[1.61211908, -8.2687788, -198.276398]	1
[2.28023911, -6.12209797, -203.830063]	1
[2.28023911, -6.12209797, -203.830063]	1
[-0.7025227844999999, -4.284924269999999, -200.18554699999999]	2
[-0.58444643, -4.23409081, -205.843109]	1
[-0.58444643, -4.23409081, -205.843109]	1
[-0.820599139, -4.33575773, -194.527985]	1
[-0.820599139, -4.33575773, -194.527985]	1
[3.40056896, -5.32017374, -209.02774]	1
[3.40056896, -5.32017374, -209.02774]	1
[4.91309309, -7.81196022, -200.713043]	1
[4.91309309, -7.81196022, -200.713043]	1
[12.456485133333333, -5.23568829, -199.84128299999998]	3
[10.5560999, -5.37567866, -199.59552]	2
[10.9196568, -7.04206276, -196.694626]	1
[10.9196568, -7.04206276, -196.694626]	1
[10.192543, -3.70929456, -202.496414]	1
[10.192543, -3.70929456, -202.496414]	1
[16.2572556, -4.95570755, -200.332809]	1
[16.2572556, -4.95570755, -200.332809]	1
[-6.959016505714286, 2.8475677312500003, -199.36494339285716]	28
[-18.049633633333332, 1.19805531, -201.29981999999998]	3
[-17.3847141, -1.12331223, -211.241287]	1
[-17.3847141, -1.12331223, -211.241287]	1
[-21.3061447, 2.80233431, -202.100586]	1
[-21.3061447, 2.80233431, -202.100586]	1
[-15.4580421, 1.91514385, -190.557587]	1
[-15.4580421, 1.91514385, -190.557587]	1
[-4.966836830000001, 0.8327539565789474, -198.48970678947376]	19
[-8.463595752500002, -2.1898466350000003, -196.67458725]	4
[-10.9694996, -3.1708405, -205.933014]	1
[-10.9694996, -3.1708405, -205.933014]	1
[-7.043295625000001, -1.7745758299999999, -197.935684]	2
[-7.72765923, -1.71922231, -199.529861]	1
[-7.72765923, -1.71922231, -199.529861]	1
[-6.35893202, -1.82992935, -196.341507]	1
[-6.35893202, -1.82992935, -196.341507]	1
[-8.79829216, -2.03939438, -184.893967]	1
[-8.79829216, -2.03939438, -184.893967]	1
[-3.8880260220000005, -0.09359849049999999, -200.25932460000004]	10
[-5.48053503, -1.3180096749999999, -208.58187850000002]	2
[-5.7706871, -1.53434169, -213.864105]	1
[-5.7706871, -1.53434169, -213.864105]	1
[-5.19038296, -1.10167766, -203.299652]	1
[-5.19038296, -1.10167766, -203.299652]	1
[-1.8230592, -2.40407205, -197.00972]	1
[-1.8230592, -2.40407205, -197.00972]	1
[-5.46906519, -0.250788033, -204.25325]	1
